run,job_index,job_id,dataset_id,method,track,seed,preprocessing_profile,output_type,scib_commit,metric__ARI_cluster/label,status__ARI_cluster/label,metric__ASW_label,status__ASW_label,metric__ASW_label/batch,status__ASW_label/batch,metric__NMI_cluster/label,status__NMI_cluster/label,metric__PCR_batch,status__PCR_batch,metric__cLISI,status__cLISI,metric__cell_cycle_conservation,status__cell_cycle_conservation,metric__graph_conn,status__graph_conn,metric__hvg_overlap,status__hvg_overlap,metric__iLISI,status__iLISI,metric__isolated_label_F1,status__isolated_label_F1,metric__isolated_label_silhouette,status__isolated_label_silhouette,metric__kBET,status__kBET,metric__trajectory,status__trajectory,split_seed,model_seed,anchor_seed,split_id,heldout_batch
primary_128d,20,core__lung_atlas__hvg2000_pca40__solar_orthogonal__random_seed_40__s40__a0__l1p00,lung_atlas,solar_orthogonal,core,40,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5456540421780856,computed,0.8586778938770294,computed,0.8230384592686879,computed,0.8180307781294592,computed,0.6753935892734119,computed,0.9999999999999998,computed,0.7207119982095739,computed,0.7559284152301842,computed,,not_applicable,1.0871605411537706,computed,0.9339513325608342,computed,0.513547083362937,computed,0.013607798931706161,computed,,not_applicable,40.0,40.0,0.0,random_seed_40,
primary_128d,21,core__lung_atlas__hvg2000_pca40__solar_orthogonal__random_seed_41__s41__a0__l1p00,lung_atlas,solar_orthogonal,core,41,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5125332566177462,computed,0.8573581278324127,computed,0.8281307399312492,computed,0.8049975728547777,computed,0.67130720099817,computed,0.9999999999999998,computed,0.733736528075906,computed,0.8127008010211959,computed,,not_applicable,1.070492349715391,computed,0.9367088607594936,computed,0.5135470787063241,computed,0.01713933160044001,computed,,not_applicable,41.0,41.0,0.0,random_seed_41,
primary_128d,22,core__lung_atlas__hvg2000_pca40__solar_orthogonal__random_seed_42__s42__a0__l1p00,lung_atlas,solar_orthogonal,core,42,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.48721019973261526,computed,0.8528972864151001,computed,0.8221877046749304,computed,0.7992561604382398,computed,0.6738900376657798,computed,0.9999999999999998,computed,0.7307175814583037,computed,0.8127253879292728,computed,,not_applicable,1.0628151962625534,computed,0.941860465116279,computed,0.5135470852255821,computed,0.006292433818226084,computed,,not_applicable,42.0,42.0,0.0,random_seed_42,
primary_128d,23,core__lung_atlas__hvg2000_pca40__solar_orthogonal__random_seed_43__s43__a0__l1p00,lung_atlas,solar_orthogonal,core,43,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5007133209778907,computed,0.8476206064224243,computed,0.8226928745281855,computed,0.7940761234247355,computed,0.6590847429776349,computed,0.9999999999999996,computed,0.7246366203228847,computed,0.7547707403229456,computed,,not_applicable,1.001017741521462,computed,0.9272727272727272,computed,0.5135470824316144,computed,0.008871578762913668,computed,,not_applicable,43.0,43.0,0.0,random_seed_43,
primary_128d,24,core__lung_atlas__hvg2000_pca40__solar_orthogonal__random_seed_44__s44__a0__l1p00,lung_atlas,solar_orthogonal,core,44,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5118511782463975,computed,0.8573272526264191,computed,0.8176301209108778,computed,0.8046478205677634,computed,0.6685599982820785,computed,0.9999999999999998,computed,0.7258988970481697,computed,0.9297437116565788,computed,,not_applicable,1.103714852756716,computed,0.9432213209733488,computed,0.5135470815002918,computed,0.013682839782287681,computed,,not_applicable,44.0,44.0,0.0,random_seed_44,
primary_128d,25,core__lung_atlas__hvg2000_pca40__solar_orthogonal_uniq__random_seed_40__s40__a0__l1p00,lung_atlas,solar_orthogonal_uniq,core,40,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.4608189707310374,computed,0.8298271894454956,computed,0.854319417103203,computed,0.79303251289717,computed,0.616252858409582,computed,0.9999999999999998,computed,0.7347159519481736,computed,0.7566643404545349,computed,,not_applicable,0.7311553716283723,computed,0.9375,computed,0.513547083362937,computed,0.01052593165328064,computed,,not_applicable,40.0,40.0,0.0,random_seed_40,
primary_128d,26,core__lung_atlas__hvg2000_pca40__solar_orthogonal_uniq__random_seed_41__s41__a0__l1p00,lung_atlas,solar_orthogonal_uniq,core,41,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.4722261949273587,computed,0.8276257216930389,computed,0.8567374804417291,computed,0.7961121983308165,computed,0.6243118684779252,computed,0.9999999999999998,computed,0.7407352129256546,computed,0.8129751683358023,computed,,not_applicable,0.7520413465042322,computed,0.9469964664310955,computed,0.5135470787063241,computed,0.015789766813524397,computed,,not_applicable,41.0,41.0,0.0,random_seed_41,
primary_128d,27,core__lung_atlas__hvg2000_pca40__solar_orthogonal_uniq__random_seed_42__s42__a0__l1p00,lung_atlas,solar_orthogonal_uniq,core,42,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.4723325875117867,computed,0.8242260813713074,computed,0.8575518341138935,computed,0.7949743407284158,computed,0.6273153356453148,computed,0.9999999999999996,computed,0.748608881434452,computed,0.8136687237629634,computed,,not_applicable,0.7872832515337287,computed,0.9379310344827586,computed,0.5135470852255821,computed,0.004870287597343981,computed,,not_applicable,42.0,42.0,0.0,random_seed_42,
primary_128d,28,core__lung_atlas__hvg2000_pca40__solar_orthogonal_uniq__random_seed_43__s43__a0__l1p00,lung_atlas,solar_orthogonal_uniq,core,43,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.4937713028757903,computed,0.8370887041091919,computed,0.8547562137972224,computed,0.8049929759361559,computed,0.6062678120489394,computed,0.9999999999999998,computed,0.7334842003662043,computed,0.9335233785617061,computed,,not_applicable,0.7856836917149712,computed,0.9410404624277457,computed,0.5135470824316144,computed,0.018789759217086255,computed,,not_applicable,43.0,43.0,0.0,random_seed_43,
primary_128d,29,core__lung_atlas__hvg2000_pca40__solar_orthogonal_uniq__random_seed_44__s44__a0__l1p00,lung_atlas,solar_orthogonal_uniq,core,44,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.4816675314722557,computed,0.8297663331031799,computed,0.8571906894222271,computed,0.8009977683919212,computed,0.6312773530921167,computed,0.9999999999999998,computed,0.7431338838021504,computed,0.8722959725137112,computed,,not_applicable,0.7940101329763958,computed,0.9434832756632064,computed,0.5135470815002918,computed,0.015693019081442827,computed,,not_applicable,44.0,44.0,0.0,random_seed_44,
