dataset_id,heldout_batch,method,model_seed,class,precision,recall,f1,support,coverage,readout
immune_cell_human,Oetjen_A,sclsc_refonly,41,Monocyte-derived dendritic cells,0.9302325581395349,0.898876404494382,0.9142857142857143,89,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,NK cells,0.5,0.9230769230769231,0.6486486486486487,26,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,NKT cells,0.9895104895104895,0.7275064267352185,0.8385185185185186,389,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,Plasma cells,1.0,0.9696969696969697,0.9846153846153847,33,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,Plasmacytoid dendritic cells,0.9310344827586207,1.0,0.9642857142857143,54,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,CD10+ B cells,0.9861111111111112,0.7802197802197802,0.8711656441717791,91,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,CD14+ Monocytes,0.8802083333333334,0.9657142857142857,0.9209809264305178,350,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,CD16+ Monocytes,0.9384615384615385,1.0,0.9682539682539683,61,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,CD20+ B cells,0.8431372549019608,1.0,0.9148936170212766,43,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,CD4+ T cells,0.8591549295774648,0.7400346620450606,0.7951582867783985,577,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,CD8+ T cells,0.34854771784232363,0.9032258064516129,0.5029940119760479,93,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,Erythrocytes,0.9833333333333333,0.9516129032258065,0.9672131147540983,186,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,Erythroid progenitors,0.9166666666666666,0.6875,0.7857142857142857,112,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,HSPCs,0.9326424870466321,0.7929515418502202,0.8571428571428571,227,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,Megakaryocyte progenitors,0.6078431372549019,0.8611111111111112,0.7126436781609196,72,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,Monocyte progenitors,0.8103448275862069,0.7704918032786885,0.7899159663865546,183,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,Monocyte-derived dendritic cells,0.9010989010989011,0.9213483146067416,0.9111111111111111,89,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,NK cells,0.5,0.9615384615384616,0.6578947368421053,26,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,NKT cells,0.9711538461538461,0.7789203084832905,0.8644793152639088,389,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,Plasma cells,0.9696969696969697,0.9696969696969697,0.9696969696969697,33,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,42,Plasmacytoid dendritic cells,0.9473684210526315,1.0,0.972972972972973,54,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,CD10+ B cells,0.987012987012987,0.8351648351648352,0.9047619047619048,91,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,CD14+ Monocytes,0.8317073170731707,0.9742857142857143,0.8973684210526316,350,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,CD16+ Monocytes,0.9682539682539683,1.0,0.9838709677419355,61,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,CD20+ B cells,0.8431372549019608,1.0,0.9148936170212766,43,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,CD4+ T cells,0.845724907063197,0.7885615251299827,0.8161434977578476,577,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,CD8+ T cells,0.39712918660287083,0.8924731182795699,0.5496688741721855,93,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,Erythrocytes,0.9675675675675676,0.9623655913978495,0.9649595687331537,186,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,Erythroid progenitors,0.926829268292683,0.6785714285714286,0.7835051546391752,112,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,HSPCs,0.8955223880597015,0.7929515418502202,0.8411214953271028,227,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,Megakaryocyte progenitors,0.6195652173913043,0.7916666666666666,0.6951219512195121,72,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,Monocyte progenitors,0.7865853658536586,0.7049180327868853,0.7435158501440923,183,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,Monocyte-derived dendritic cells,0.927710843373494,0.8651685393258427,0.8953488372093024,89,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,NK cells,0.4807692307692308,0.9615384615384616,0.6410256410256411,26,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,NKT cells,0.9930555555555556,0.7352185089974294,0.844903988183161,389,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,Plasma cells,1.0,1.0,1.0,33,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,43,Plasmacytoid dendritic cells,0.9310344827586207,1.0,0.9642857142857143,54,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,CD10+ B cells,0.9863013698630136,0.7912087912087912,0.8780487804878049,91,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,CD14+ Monocytes,0.8711340206185567,0.9657142857142857,0.9159891598915989,350,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,CD16+ Monocytes,0.9682539682539683,1.0,0.9838709677419355,61,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,CD20+ B cells,0.7962962962962963,1.0,0.8865979381443299,43,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,CD4+ T cells,0.8364661654135338,0.7712305025996534,0.8025247971145176,577,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,CD8+ T cells,0.38990825688073394,0.9139784946236559,0.5466237942122186,93,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,Erythrocytes,0.9888268156424581,0.9516129032258065,0.9698630136986301,186,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,Erythroid progenitors,0.9418604651162791,0.7232142857142857,0.8181818181818182,112,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,HSPCs,0.955,0.8414096916299559,0.8946135831381733,227,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,Megakaryocyte progenitors,0.6774193548387096,0.875,0.7636363636363637,72,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,Monocyte progenitors,0.8224852071005917,0.7595628415300546,0.7897727272727273,183,,common_distance_weighted_15nn
