dataset_id,track,heldout_batch,split_id,split_seed,model_seed,anchor_seed,method,seed,macro_f1,balanced_accuracy,n_reference,n_query,readout,coverage,assigned_only_macro_f1,assigned_only_accuracy,n_fitting,embedding_dimension,classes_json,confusion_matrix_json,artifact_path,artifact_sha256,total_wall_seconds,peak_rss_mb,reference_build_seconds,query_mapping_seconds,artifact_source_scope
immune_cell_human,heldout,Villani,heldout_Villani,,42.0,,frozen_reference_scvi,42.0,0.4655435681478068,0.7548356129617448,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,43.0,,frozen_reference_scvi,43.0,0.5309350503317466,0.7217250239526174,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,44.0,,frozen_reference_scvi,44.0,0.466548826765627,0.7594489018206413,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,40.0,,frozen_reference_scvi,40.0,0.7297552133929052,0.8368778215327852,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,41.0,,frozen_reference_scvi,41.0,0.7269393772506028,0.8428759900309537,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,42.0,,frozen_reference_scvi,42.0,0.6566227693576927,0.8167693585671796,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,43.0,,frozen_reference_scvi,43.0,0.6125539824877216,0.8465191458169666,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,44.0,,frozen_reference_scvi,44.0,0.5941676870564966,0.8299999507263429,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,40.0,,frozen_reference_scvi,40.0,0.4836175346239739,0.7841967464402376,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,41.0,,frozen_reference_scvi,41.0,0.4885961611795823,0.8220444728587445,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,42.0,,frozen_reference_scvi,42.0,0.5019190905418486,0.7626405639061802,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,43.0,,frozen_reference_scvi,43.0,0.5074860196164734,0.8171176479880554,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,44.0,,frozen_reference_scvi,44.0,0.4941058297240998,0.7768472168433685,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,B1,heldout_B1,,40.0,,frozen_reference_scvi,40.0,0.5575492663465135,0.821247958021011,30332,2140,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,B1,heldout_B1,,41.0,,frozen_reference_scvi,41.0,0.5565534115264902,0.8398087486525413,30332,2140,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,B1,heldout_B1,,42.0,,frozen_reference_scvi,42.0,0.5991883070517086,0.8423122757697723,30332,2140,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,B1,heldout_B1,,43.0,,frozen_reference_scvi,43.0,0.589629628384377,0.8315755097427547,30332,2140,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,B1,heldout_B1,,44.0,,frozen_reference_scvi,44.0,0.5551646679650979,0.848589800508817,30332,2140,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,40.0,,frozen_reference_scvi,40.0,0.8338188869003638,0.8410569531665182,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,41.0,,frozen_reference_scvi,41.0,0.8436028240297953,0.9421442445362362,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,42.0,,frozen_reference_scvi,42.0,0.7751447655382935,0.903701737214922,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,43.0,,frozen_reference_scvi,43.0,0.8845355228040488,0.9072324121825436,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,44.0,,frozen_reference_scvi,44.0,0.9110989384666172,0.9166398918456912,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,40.0,,frozen_reference_scvi,40.0,0.848857654954746,0.8845002127920942,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,41.0,,frozen_reference_scvi,41.0,0.8829114965192503,0.9217466714601728,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,42.0,,frozen_reference_scvi,42.0,0.8553360331957826,0.8962189399039552,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
