dataset_id,track,heldout_batch,split_id,split_seed,model_seed,anchor_seed,method,seed,macro_f1,balanced_accuracy,n_reference,n_query
lung_atlas,heldout,B1,heldout_B1,,40.0,0.0,solar_orthogonal,40.0,0.8010797212172491,0.8772181181036017,30332,2140
lung_atlas,heldout,B1,heldout_B1,,41.0,0.0,solar_orthogonal,41.0,0.7944499713001406,0.8635635623430126,30332,2140
lung_atlas,heldout,B1,heldout_B1,,42.0,0.0,solar_orthogonal,42.0,0.8234962540208173,0.9114507980967542,30332,2140
lung_atlas,heldout,B1,heldout_B1,,43.0,0.0,solar_orthogonal,43.0,0.8878659616541345,0.8910659083196645,30332,2140
lung_atlas,heldout,B1,heldout_B1,,44.0,0.0,solar_orthogonal,44.0,0.7948866064665133,0.8618997962774969,30332,2140
lung_atlas,heldout,4,heldout_4,,40.0,0.0,solar_orthogonal,40.0,0.7599163293106046,0.8462233889011154,28709,3763
lung_atlas,heldout,4,heldout_4,,41.0,0.0,solar_orthogonal,41.0,0.7767991658412949,0.8656793820934324,28709,3763
lung_atlas,heldout,4,heldout_4,,42.0,0.0,solar_orthogonal,42.0,0.7140407214030434,0.8132547528690219,28709,3763
lung_atlas,heldout,4,heldout_4,,43.0,0.0,solar_orthogonal,43.0,0.7649406614161803,0.8642406512400407,28709,3763
lung_atlas,heldout,4,heldout_4,,44.0,0.0,solar_orthogonal,44.0,0.7523744252243266,0.8551174443351051,28709,3763
simulation_1,heldout,Batch6,heldout_Batch6,,40.0,0.0,solar_orthogonal,40.0,1.0,1.0,11140,957
simulation_1,heldout,Batch6,heldout_Batch6,,41.0,0.0,solar_orthogonal,41.0,1.0,1.0,11140,957
simulation_1,heldout,Batch6,heldout_Batch6,,42.0,0.0,solar_orthogonal,42.0,1.0,1.0,11140,957
simulation_1,heldout,Batch6,heldout_Batch6,,43.0,0.0,solar_orthogonal,43.0,1.0,1.0,11140,957
simulation_1,heldout,Batch6,heldout_Batch6,,44.0,0.0,solar_orthogonal,44.0,1.0,1.0,11140,957
simulation_1,heldout,Batch3,heldout_Batch3,,40.0,0.0,solar_orthogonal,40.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch3,heldout_Batch3,,41.0,0.0,solar_orthogonal,41.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch3,heldout_Batch3,,42.0,0.0,solar_orthogonal,42.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch3,heldout_Batch3,,43.0,0.0,solar_orthogonal,43.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch3,heldout_Batch3,,44.0,0.0,solar_orthogonal,44.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch1,heldout_Batch1,,40.0,0.0,solar_orthogonal,40.0,1.0,1.0,9189,2908
simulation_1,heldout,Batch1,heldout_Batch1,,41.0,0.0,solar_orthogonal,41.0,1.0,1.0,9189,2908
simulation_1,heldout,Batch1,heldout_Batch1,,42.0,0.0,solar_orthogonal,42.0,1.0,1.0,9189,2908
simulation_1,heldout,Batch1,heldout_Batch1,,43.0,0.0,solar_orthogonal,43.0,1.0,1.0,9189,2908
simulation_1,heldout,Batch1,heldout_Batch1,,44.0,0.0,solar_orthogonal,44.0,1.0,1.0,9189,2908
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,40.0,0.0,solar_orthogonal,40.0,1.0,1.0,18833,485
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,41.0,0.0,solar_orthogonal,41.0,1.0,1.0,18833,485
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,42.0,0.0,solar_orthogonal,42.0,1.0,1.0,18833,485
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,43.0,0.0,solar_orthogonal,43.0,1.0,1.0,18833,485
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,44.0,0.0,solar_orthogonal,44.0,1.0,1.0,18833,485
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,40.0,0.0,solar_orthogonal,40.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,41.0,0.0,solar_orthogonal,41.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,42.0,0.0,solar_orthogonal,42.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,43.0,0.0,solar_orthogonal,43.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,44.0,0.0,solar_orthogonal,44.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,40.0,0.0,solar_orthogonal,40.0,1.0,1.0,17388,1930
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,41.0,0.0,solar_orthogonal,41.0,1.0,1.0,17388,1930
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,42.0,0.0,solar_orthogonal,42.0,1.0,1.0,17388,1930
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,43.0,0.0,solar_orthogonal,43.0,1.0,1.0,17388,1930
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,44.0,0.0,solar_orthogonal,44.0,1.0,1.0,17388,1930
pancreas,core,,random_seed_40,40.0,40.0,0.0,solar_orthogonal_uniq,40.0,0.8837924053889598,0.8833362571323543,13104,3278
pancreas,core,,random_seed_41,41.0,41.0,0.0,solar_orthogonal_uniq,41.0,0.8801774279782739,0.8941838513216425,13104,3278
pancreas,core,,random_seed_42,42.0,42.0,0.0,solar_orthogonal_uniq,42.0,0.8841868032519932,0.8787780134694932,13104,3278
pancreas,core,,random_seed_43,43.0,43.0,0.0,solar_orthogonal_uniq,43.0,0.8639970839791042,0.8648191555293243,13104,3278
pancreas,core,,random_seed_44,44.0,44.0,0.0,solar_orthogonal_uniq,44.0,0.8905714899532056,0.8904548864573917,13104,3278
immune_cell_human,core,,random_seed_40,40.0,40.0,0.0,solar_orthogonal_uniq,40.0,0.939416743171477,0.9360639264032281,26809,6697
immune_cell_human,core,,random_seed_41,41.0,41.0,0.0,solar_orthogonal_uniq,41.0,0.9419379765472407,0.9374158088817036,26809,6697
immune_cell_human,core,,random_seed_42,42.0,42.0,0.0,solar_orthogonal_uniq,42.0,0.9402596884890211,0.9334465062737157,26809,6697
immune_cell_human,core,,random_seed_43,43.0,43.0,0.0,solar_orthogonal_uniq,43.0,0.9505495550719109,0.9480357509361258,26809,6697
immune_cell_human,core,,random_seed_44,44.0,44.0,0.0,solar_orthogonal_uniq,44.0,0.9379741034512035,0.9371982289588361,26809,6697
lung_atlas,core,,random_seed_40,40.0,40.0,0.0,solar_orthogonal_uniq,40.0,0.9552596611007478,0.9502498500225997,25975,6497
lung_atlas,core,,random_seed_41,41.0,41.0,0.0,solar_orthogonal_uniq,41.0,0.9562137140314287,0.9532714916570931,25975,6497
lung_atlas,core,,random_seed_42,42.0,42.0,0.0,solar_orthogonal_uniq,42.0,0.9548883220198301,0.956432749552986,25975,6497
lung_atlas,core,,random_seed_43,43.0,43.0,0.0,solar_orthogonal_uniq,43.0,0.952198855296797,0.9523801616639372,25975,6497
